Provider,accuracy,configAccuracy,deviceid,latitude,local_time,longitude,senseStartTimeMillis,sensorType,speed,userid
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8103125855,07:54:19:820 05 10 2015 -0400 EDT,-72.2637492039,1444046060000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089347139,07:55:08:713 05 10 2015 -0400 EDT,-72.2688496113,1444046109000,Location,-1,000000
GPS,9286,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8152358570,07:56:48:222 05 10 2015 -0400 EDT,-72.2712594446,1444046208000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8166518998,07:56:48:262 05 10 2015 -0400 EDT,-72.2718005450,1444046208000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8140337297,07:59:47:191 05 10 2015 -0400 EDT,-72.2682829034,1444046387000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8118927222,07:59:47:228 05 10 2015 -0400 EDT,-72.2656546698,1444046387000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8103531214,07:59:47:264 05 10 2015 -0400 EDT,-72.2637647040,1444046388000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089347579,08:00:15:578 05 10 2015 -0400 EDT,-72.2688500889,1444046416000,Location,-1,000000
GPS,8875,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8151043042,08:01:39:824 05 10 2015 -0400 EDT,-72.2712087974,1444046500000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8165906510,08:01:39:865 05 10 2015 -0400 EDT,-72.2717770494,1444046500000,Location,-1,000000
GPS,5000,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8084143642,08:14:10:079 05 10 2015 -0400 EDT,-72.2614147402,1444047260000,Location,-1,000000
GPS,20,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089250193,08:13:57:018 05 10 2015 -0400 EDT,-72.2686924915,1444047261000,Location,-1,000000
GPS,65,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8085153271,08:14:10:573 05 10 2015 -0400 EDT,-72.2680194114,1444047262000,Location,-1,000000
GPS,10,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8086388568,08:14:13:000 05 10 2015 -0400 EDT,-72.2678318807,1444047262000,Location,1.3500000238419,000000
GPS,5,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8086832390,08:14:22:342 05 10 2015 -0400 EDT,-72.2677244247,1444047263000,Location,1.0700000524521,000000
GPS,5,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8086832390,08:14:22:351 05 10 2015 -0400 EDT,-72.2677244247,1444047263000,Location,1.0700000524521,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8079396679,08:14:53:700 05 10 2015 -0400 EDT,-72.2667284144,1444047294000,Location,-1,000000
GPS,65,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8079396679,08:14:53:792 05 10 2015 -0400 EDT,-72.2667284144,1444047294000,Location,-1,000000
GPS,65,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8079396679,08:14:53:808 05 10 2015 -0400 EDT,-72.2667284144,1444047294000,Location,-1,000000
GPS,10,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8083726056,08:14:57:000 05 10 2015 -0400 EDT,-72.2669870686,1444047297000,Location,2.5999999046326,000000
